cust;Recency;first_in_windows;Freq_2Y;Freq_1Y;Freq_3M;IPT_mean;CREDIT_PAY;TIPO_TARJETA;CUS_FIRST_BUY;CANTIDAD_COMPRAS_ITEMS_USADOS;cant_dias_active_short;recency_date_short;Frequency_target
353663295;341.0;359.0;2;2;0.0;1.255272505103306;2.0;1.0;359.0;0;0.0;9999999.0;0.0
150781167;181.0;730.0;3;1;0.0;9999999.0;2.0;2.0;2095.0;0;0.0;9999999.0;3.0
52613934;16.0;18.0;2;2;2.0;0.3010299956639812;19.0;3.0;1474.0;0;7.0;6.0;1.0
148831653;3.0;716.0;7;2;2.0;0.9030899869919435;6.0;3.0;2130.0;0;4.0;3.0;32.0
368192810;10.0;10.0;1;1;1.0;9999999.0;2.0;3.0;10.0;0;1.0;10.0;7.0
55552780;4.0;707.0;20;5;3.0;1.242456445585718;10.0;3.0;1269.0;0;13.0;1.0;17.0
440401973;11.0;11.0;1;1;1.0;9999999.0;0.0;0.0;11.0;0;6.0;11.0;0.0
159961003;1.0;676.0;15;9;2.0;1.2112592098245427;11.0;2.0;1924.0;1;10.0;0.0;17.0
336537046;219.0;234.0;2;2;0.0;1.1760912590556813;0.0;0.0;398.0;0;0.0;9999999.0;0.0
163812915;132.0;132.0;1;1;0.0;9999999.0;1.0;1.0;1862.0;0;3.0;6.0;2.0
247479025;138.0;718.0;22;9;0.0;1.3045064087637883;12.0;2.0;873.0;1;8.0;1.0;8.0
315729208;237.0;237.0;1;1;0.0;9999999.0;2.0;3.0;237.0;0;0.0;9999999.0;0.0
280784042;72.0;677.0;7;4;1.0;1.052787497365083;10.0;1.0;677.0;0;5.0;7.0;11.0
244640237;33.0;710.0;9;2;1.0;2.515873843711679;0.0;0.0;930.0;0;0.0;9999999.0;2.0
272253157;219.0;219.0;1;1;0.0;9999999.0;1.0;1.0;673.0;0;2.0;27.0;2.0
56201635;352.0;714.0;2;1;0.0;9999999.0;1.0;1.0;4003.0;0;0.0;9999999.0;1.0
56228833;364.0;364.0;1;1;0.0;9999999.0;1.0;1.0;3164.0;0;3.0;25.0;1.0
190803499;333.0;333.0;1;1;0.0;9999999.0;1.0;1.0;1476.0;0;0.0;9999999.0;0.0
532540;60.0;550.0;2;1;1.0;9999999.0;6.0;4.0;5157.0;0;1.0;4.0;0.0
173509919;5.0;650.0;30;19;9.0;0.9628819229717447;34.0;2.0;1310.0;0;2.0;2.0;20.0
339638045;193.0;216.0;2;2;0.0;1.3617278360175928;0.0;0.0;216.0;0;5.0;1.0;1.0
331922420;207.0;207.0;1;1;0.0;9999999.0;0.0;0.0;207.0;0;0.0;9999999.0;1.0
186543133;300.0;300.0;1;1;0.0;9999999.0;0.0;0.0;1532.0;0;0.0;9999999.0;0.0
